#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/oscal
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-20
#curie_map: 
# oscal: https://w3id.org/lmodel/oscal/
# linkml: https://w3id.org/linkml/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
oscal_profile:CombinationRule	CombinationRule	skos:exactMatch		oscal_profile:CombinationRule		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_component:ComponentDefinition	ComponentDefinition	skos:exactMatch		oscal_component:ComponentDefinition		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_component:ComponentDefinitionDocument	ComponentDefinitionDocument	skos:exactMatch		oscal_component:ComponentDefinitionDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_assessment_plan:ComponentStatus	ComponentStatus	skos:exactMatch		oscal_assessment_plan:ComponentStatus		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_mapping:ConfidenceScore	ConfidenceScore	skos:exactMatch		oscal_mapping:ConfidenceScore		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_catalog:ConstraintTest	ConstraintTest	skos:exactMatch		oscal_catalog:ConstraintTest		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:Control	Control	skos:exactMatch		oscal_catalog:Control		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_component:ControlImplementationSet	ControlImplementationSet	skos:exactMatch		oscal_component:ControlImplementationSet		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_catalog:ControlMatching	ControlMatching	skos:exactMatch		oscal_catalog:ControlMatching		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:ControlObjectiveSelection	ControlObjectiveSelection	skos:exactMatch		oscal_assessment_plan:ControlObjectiveSelection		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ControlPart	ControlPart	skos:exactMatch		oscal_assessment_plan:ControlPart		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:ControlResponsibility	ControlResponsibility	skos:exactMatch		oscal_ssp:ControlResponsibility		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:ControlSelection	ControlSelection	skos:exactMatch		oscal_assessment_plan:ControlSelection		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_mapping:Coverage	Coverage	skos:exactMatch		oscal_mapping:Coverage		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_ssp:DataFlow	DataFlow	skos:exactMatch		oscal_ssp:DataFlow		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_component:DefinedComponent	DefinedComponent	skos:exactMatch		oscal_component:DefinedComponent		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_ssp:Diagram	Diagram	skos:exactMatch		oscal_ssp:Diagram		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_catalog:DocumentId	DocumentId	skos:exactMatch		oscal_catalog:DocumentId		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:EventTiming	EventTiming	skos:exactMatch		oscal_assessment_plan:EventTiming		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:Export	Export	skos:exactMatch		oscal_ssp:Export		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:Facet	Facet	skos:exactMatch		oscal_assessment_plan:Facet		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
